"WHO Reference Number","INN, Dosage Form and Strength","Product Type","Therapeutic Area",Applicant,"Dosage Form","Basis of Listing","Basis of alternative listing","Date of Prequalification"
HA742,"Atazanavir (sulfate)/Ritonavir Tablet, Film-coated 300mg/100mg","Finished Pharmaceutical Product",HIV/AIDS,"Sun Pharmaceutical Industries Limited","Tablet, Film-coated","Prequalification - Full",,"23  Sep,  2024"
HA743,"Abacavir (sulfate)/Lamivudine Tablet, Film-coated 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Film-coated","Prequalification - Full",,"10  Mar,  2023"
HA744,"Sulfamethoxazole/Trimethoprim Tablet 400mg/80mg","Finished Pharmaceutical Product",HIV/AIDS,"Ipca Laboratories Ltd",Tablet,"Prequalification - Full",,"17  Feb,  2021"
HA745,"Sulfamethoxazole/Trimethoprim Tablet 800mg/160mg","Finished Pharmaceutical Product",HIV/AIDS,"Ipca Laboratories Ltd",Tablet,"Prequalification - Full",,"17  Feb,  2021"
HA746,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Desano Pharmaceuticals Private Limited","Tablet, Film-coated","Prequalification - Full",,"2  Sep,  2022"
HA747,"Sulfamethoxazole/Trimethoprim Tablet 400mg/80mg","Finished Pharmaceutical Product",HIV/AIDS,"Eumedica Pharmaceuticals AG",Tablet,"Prequalification - Abridged",,"17  Dec,  2019"
HA748,"Sulfamethoxazole/Trimethoprim Tablet 800mg/160mg","Finished Pharmaceutical Product",HIV/AIDS,"Eumedica Pharmaceuticals AG",Tablet,"Prequalification - Abridged",,"17  Dec,  2019"
HA749,"Atazanavir (sulfate)/Ritonavir Tablet, Film-coated 300mg/100mg","Finished Pharmaceutical Product",HIV/AIDS,"Shanghai Desano Bio-Pharmaceutical Co., Ltd.","Tablet, Film-coated","Prequalification - Full",,"8  Aug,  2022"
HA751,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"6  Jan,  2021"
HA754,"Flucytosine Tablet 500mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,"Prequalification - Full",,"29  Sep,  2021"
HA755,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"26  Apr,  2022"
HA759,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 400mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"28  Jun,  2022"
HA760,"Lopinavir/Ritonavir Tablet, Film-coated 100mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"2  Sep,  2023"
HA761,"Lopinavir/Ritonavir Tablet, Film-coated 200mg/50mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"2  Sep,  2023"
HA762,"Isoniazid/Pyridoxine hydrochloride/Sulfamethoxazole/Trimethoprim Tablet, Film-coated 300mg/25mg/800mg/160mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"11  Jul,  2022"
HA763,"Abacavir (sulfate)/Lamivudine Tablet, Dispersible 120mg/60mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"26  Apr,  2022"
HA764,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Desano Pharmaceuticals Private Limited","Tablet, Film-coated","Prequalification - Full",,"15  Jul,  2022"
HA765,"Dolutegravir (sodium) Tablet, Dispersible 10mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"14  Dec,  2021"
HA766,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 400mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Desano Pharmaceuticals Private Limited","Tablet, Film-coated","Prequalification - Full",,"24  Nov,  2022"
HA768,"Dolutegravir (sodium) Tablet, Dispersible 5mg","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare BV","Tablet, Dispersible","Prequalification - Abridged",,"1  Jul,  2021"
HA769,"Flucytosine Tablet 500mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"25  Apr,  2024"
HA770,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 400mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Film-coated","Prequalification - Full",,"2  May,  2023"
HA772,"Atazanavir (sulfate)/Ritonavir Tablet, Film-coated 300mg/100mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"2  Sep,  2023"
HA774,"Sulfamethoxazole/Trimethoprim Tablet 400 mg/80 mg","Finished Pharmaceutical Product",HIV/AIDS,"Shouguang Fukang Pharmaceutical Co., Ltd.",Tablet,"Prequalification - Full",,"18  Dec,  2023"
HA775,"Sulfamethoxazole/Trimethoprim Tablet 800 mg/160 mg","Finished Pharmaceutical Product",HIV/AIDS,"Shouguang Fukang Pharmaceutical Co., Ltd.",Tablet,"Prequalification - Full",,"18  Dec,  2023"
HA778,"Ritonavir Tablet, Film-coated 100 mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Film-coated","Prequalification - Abridged",,"4  Oct,  2022"
HA779,"Abacavir (sulfate)/Dolutegravir (sodium)/Lamivudine Tablet, Dispersible 60 mg/5 mg/30 mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Dispersible","Prequalification - Full",,"16  Nov,  2023"
HA780,"Darunavir (ethanolate) Tablet, Film-coated 600mg","Finished Pharmaceutical Product",HIV/AIDS,"Janssen-Cilag International NV","Tablet, Film-coated","Prequalification - Abridged",,"3  Feb,  2023"
HA782,"Sulfamethoxazole/Trimethoprim Tablet 400mg/80mg","Finished Pharmaceutical Product",HIV/AIDS,"Reyoung Pharmaceutical Co., Ltd.",Tablet,"Prequalification - Full",,"2  Jul,  2024"
HA783,"Sulfamethoxazole/Trimethoprim Tablet 800mg/160mg","Finished Pharmaceutical Product",HIV/AIDS,"Reyoung Pharmaceutical Co., Ltd.",Tablet,"Prequalification - Full",,"2  Jul,  2024"
HA786,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Emcure Pharmaceuticals Limited","Tablet, Film-coated","Prequalification - Full",,"15  Jul,  2024"
HA787,"Ritonavir Tablet, Film-coated 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Shanghai Desano Bio-Pharmaceutical Co., Ltd.","Tablet, Film-coated","Prequalification - Full",,"2  Jul,  2024"
HA788,"Cabotegravir (sodium) Tablet, Film-coated 30mg","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare Pty Ltd","Tablet, Film-coated","Prequalification - Abridged",,"22  Dec,  2023"
HA789,"Cabotegravir Suspension for injection 600mg/3mL","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare Pty Ltd","Suspension for injection","Prequalification - Abridged",,"22  Dec,  2023"
HA790,"Abacavir (sulfate)/Dolutegravir (sodium)/Lamivudine Tablet, Dispersible 60mg/5mg/30mg","Finished Pharmaceutical Product",HIV/AIDS,"Lupin Ltd","Tablet, Dispersible","Prequalification - Full",,"5  Jul,  2025"
HA792,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Shanghai Desano Bio-Pharmaceutical Co., Ltd.","Tablet, Film-coated","Prequalification - Full",,"17  Jul,  2025"
HA793,"Dolutegravir (sodium) Tablet, Dispersible 10mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"17  Jul,  2025"
HA809,"Abacavir (sulfate)/Dolutegravir (sodium)/Lamivudine Tablet, Dispersible 60mg/5mg/30mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"31  Mar,  2026"
HA810,"Lenacapavir Tablet, Film-coated 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Gilead Sciences Ireland UC","Tablet, Film-coated","Prequalification - Abridged",,"6  Oct,  2025"
HA811,"Lenacapavir Solution for injection 463.5 mg/1.5 mL","Finished Pharmaceutical Product",HIV/AIDS,"Gilead Sciences Ireland UC","Solution for injection","Prequalification - Abridged",,"6  Oct,  2025"
HCnda,"Lamivudine/Nevirapine/Zidovudine Tablet 150mg/200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Apotex Pharmachem Inc",Tablet,"Alternative Listing","Health Canada Access programme",
HP001,"Sofosbuvir Tablet, Film-coated 400mg","Finished Pharmaceutical Product","Hepatitis B and C","Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"20  Jul,  2017"
HP002,"Sofosbuvir Tablet, Film-coated 400mg","Finished Pharmaceutical Product","Hepatitis B and C","Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"7  Feb,  2018"
HP003,"Sofosbuvir Tablet, Film-coated 400mg","Finished Pharmaceutical Product","Hepatitis B and C","European Egyptian Pharmaceuticals Industries Co","Tablet, Film-coated","Prequalification - Full",,"18  Dec,  2018"
HP011,"Daclatasvir (dihydrochloride) Tablet, Film-coated 30mg","Finished Pharmaceutical Product","Hepatitis B and C","Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"17  Dec,  2019"
HP012,"Daclatasvir (dihydrochloride) Tablet, Film-coated 60mg","Finished Pharmaceutical Product","Hepatitis B and C","Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"17  Dec,  2019"
HP016,"Daclatasvir (dihydrochloride) Tablet, Film-coated 60mg","Finished Pharmaceutical Product","Hepatitis B and C","Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"15  May,  2019"
HP024,"Sofosbuvir/Velpatasvir Tablet, Film-coated 400mg/100mg","Finished Pharmaceutical Product","Hepatitis B and C","Gilead Sciences Ireland UC","Tablet, Film-coated","Prequalification - Abridged",,"6  Feb,  2019"
HP025,"Daclatasvir (dihydrochloride)/Sofosbuvir Tablet, Film-coated 60mg/400mg","Finished Pharmaceutical Product","Hepatitis B and C","Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"27  Oct,  2020"
HP026,"Sofosbuvir/Velpatasvir Tablet, Film-coated 400mg/100mg","Finished Pharmaceutical Product","Hepatitis B and C","Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"27  Oct,  2020"
HP027,"Daclatasvir (dihydrochloride) Tablet, Film-coated 30mg","Finished Pharmaceutical Product","Hepatitis B and C","Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"18  Dec,  2020"
HP028,"Daclatasvir (dihydrochloride) Tablet, Film-coated 60mg","Finished Pharmaceutical Product","Hepatitis B and C","Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"18  Dec,  2020"
HP030,"Tenofovir disoproxil fumarate Tablet, Film-coated 300mg","Finished Pharmaceutical Product","Hepatitis B and C","Shijiazhuang Lonzeal Pharmaceuticals Co., Ltd.","Tablet, Film-coated","Prequalification - Full",,"27  Aug,  2024"
HP031,"Entecavir Tablet, Film-coated 0.5 mg","Finished Pharmaceutical Product","Hepatitis B and C","BrightGene Bio-Medical Technology Co., Ltd","Tablet, Film-coated","Prequalification - Abridged",,"22  Mar,  2022"
HP032,"Entecavir Tablet, Film-coated 1 mg","Finished Pharmaceutical Product","Hepatitis B and C","BrightGene Bio-Medical Technology Co., Ltd","Tablet, Film-coated","Prequalification - Abridged",,"22  Mar,  2022"
HP033,"Daclatasvir (dihydrochloride) Tablet, Film-coated 30 mg","Finished Pharmaceutical Product","Hepatitis B and C","Zydus Lifesciences Limited","Tablet, Film-coated","Prequalification - Full",,"22  Dec,  2023"
HP034,"Daclatasvir (dihydrochloride) Tablet, Film-coated 60 mg","Finished Pharmaceutical Product","Hepatitis B and C","Zydus Lifesciences Limited","Tablet, Film-coated","Prequalification - Full",,"22  Dec,  2023"
HP035,"Entecavir Tablet, Film-coated 0.5mg","Finished Pharmaceutical Product","Hepatitis B and C","RV Lifesciences Limited","Tablet, Film-coated","Prequalification - Full",,"19  Feb,  2025"
HP036,"Entecavir Tablet, Film-coated 1mg","Finished Pharmaceutical Product","Hepatitis B and C","RV Lifesciences Limited","Tablet, Film-coated","Prequalification - Full",,"19  Feb,  2025"
IN001,"Oseltamivir (phosphate) Capsules, hard 75mg","Finished Pharmaceutical Product",Influenza,"Cipla Ltd","Capsules, hard","Prequalification - Full",,"13  May,  2009"
IN004,"Oseltamivir (phosphate) Capsules, hard 30mg","Finished Pharmaceutical Product",Influenza,"Roche Registration GmbH","Capsules, hard","Prequalification - Abridged",,"21  Sep,  2009"
IN005,"Oseltamivir (phosphate) Capsules, hard 45mg","Finished Pharmaceutical Product",Influenza,"Roche Registration GmbH","Capsules, hard","Prequalification - Abridged",,"21  Sep,  2009"
IN006,"Oseltamivir (phosphate) Capsules, hard 75mg","Finished Pharmaceutical Product",Influenza,"Roche Registration GmbH","Capsules, hard","Prequalification - Abridged",,"21  Sep,  2009"
IN007,"Zanamivir Powder, for Inhalation 5mg","Finished Pharmaceutical Product",Influenza,"Glaxo Wellcome UK Ltd","Powder, for Inhalation","Prequalification - Abridged",,"22  Sep,  2009"
IN011,"Oseltamivir (phosphate) Capsules, hard 75mg","Finished Pharmaceutical Product",Influenza,"Mylan Laboratories Ltd.","Capsules, hard","Prequalification - Full",,"13  Jun,  2014"
IN014,"Oseltamivir (phosphate) Capsules, hard 30mg","Finished Pharmaceutical Product",Influenza,"Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"21  Dec,  2016"
IN015,"Oseltamivir (phosphate) Capsules, hard 45mg","Finished Pharmaceutical Product",Influenza,"Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"21  Dec,  2016"
IN016,"Oseltamivir (phosphate) Capsules, hard 75mg","Finished Pharmaceutical Product",Influenza,"Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"21  Dec,  2016"
IN018,"Oseltamivir (phosphate) Capsules, hard 30mg","Finished Pharmaceutical Product",Influenza,"MSN Laboratories Private Limited","Capsules, hard","Prequalification - Full",,"14  Jul,  2020"
IN019,"Oseltamivir (phosphate) Capsules, hard 45mg","Finished Pharmaceutical Product",Influenza,"MSN Laboratories Private Limited","Capsules, hard","Prequalification - Full",,"14  Jul,  2020"
IN020,"Oseltamivir (phosphate) Capsules, hard 75mg","Finished Pharmaceutical Product",Influenza,"MSN Laboratories Private Limited","Capsules, hard","Prequalification - Full",,"14  Jul,  2020"
MA026,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Novartis Pharma AG",Tablet,"Prequalification - Abridged",,"26  Apr,  2004"
MA051,"Artesunate Powder for solution for injection 60mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co., Ltd.","Powder for solution for injection","Prequalification - Full",,"5  Nov,  2010"
MA056,"Amodiaquine (hydrochloride)/Artesunate Tablet 67.5mg/25mg","Finished Pharmaceutical Product",Malaria,Sanofi,Tablet,"Prequalification - Full",,"14  Oct,  2008"
MA057,"Amodiaquine (hydrochloride)/Artesunate Tablet 135mg/50mg","Finished Pharmaceutical Product",Malaria,Sanofi,Tablet,"Prequalification - Full",,"14  Oct,  2008"
MA058,"Amodiaquine (hydrochloride)/Artesunate Tablet 270mg/100mg","Finished Pharmaceutical Product",Malaria,Sanofi,Tablet,"Prequalification - Full",,"14  Oct,  2008"
MA062,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd",Tablet,"Prequalification - Full",,"15  Dec,  2009"
MA064,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Cipla Ltd",Tablet,"Prequalification - Full",,"22  May,  2009"
MA069,"Artemether/Lumefantrine Tablet, Dispersible 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Novartis Pharma AG","Tablet, Dispersible","Prequalification - Abridged",,"27  Feb,  2009"
MA080,"Amodiaquine (hydrochloride)/Artesunate Tablet 67.5mg/25mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd",Tablet,"Prequalification - Full",,"1  Jun,  2012"
MA081,"Amodiaquine (hydrochloride)/Artesunate Tablet 135mg/50mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd",Tablet,"Prequalification - Full",,"1  Jun,  2012"
MA082,"Amodiaquine (hydrochloride)/Artesunate Tablet 270mg/100mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd",Tablet,"Prequalification - Full",,"1  Jun,  2012"
MA083,"Amodiaquine (hydrochloride)/Artesunate Tablet 67.5mg/25mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd",Tablet,"Prequalification - Full",,"16  Nov,  2012"
MA084,"Amodiaquine (hydrochloride)/Artesunate Tablet 135mg/50mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd",Tablet,"Prequalification - Full",,"16  Nov,  2012"
MA085,"Amodiaquine (hydrochloride)/Artesunate Tablet 270mg/100mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd",Tablet,"Prequalification - Full",,"16  Nov,  2012"
MA088,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Strides Pharma Global PTE Limited",Tablet,"Prequalification - Full",,"24  Jun,  2013"
MA089,"Artesunate Powder for solution for injection 30mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co., Ltd.","Powder for solution for injection","Prequalification - Full",,"23  May,  2013"
MA090,"Artesunate Powder for solution for injection 120mg/vial","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co., Ltd.","Powder for solution for injection","Prequalification - Full",,"23  May,  2013"
MA091,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"21  Oct,  2013"
MA092,"Artemether/Lumefantrine Tablet, Dispersible 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Ajanta Pharma Ltd","Tablet, Dispersible","Prequalification - Full",,"19  Dec,  2012"
MA093,"Dihydroartemisinin/Piperaquine phosphate Tablet, Film-coated 20mg/160mg","Finished Pharmaceutical Product",Malaria,"Alfasigma S.p.A.","Tablet, Film-coated","Prequalification - Abridged",,"9  Oct,  2015"
MA094,"Dihydroartemisinin/Piperaquine phosphate Tablet, Film-coated 40mg/320mg","Finished Pharmaceutical Product",Malaria,"Alfasigma S.p.A.","Tablet, Film-coated","Prequalification - Abridged",,"9  Oct,  2015"
MA099,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Mylan Laboratories Ltd.",Tablet,"Prequalification - Full",,"16  May,  2014"
MA102,"Amodiaquine (hydrochloride)/Artesunate Tablet 67.5mg/25mg","Finished Pharmaceutical Product",Malaria,"Cipla Ltd",Tablet,"Prequalification - Full",,"8  Apr,  2014"
MA103,"Amodiaquine (hydrochloride)/Artesunate Tablet 135mg/50mg","Finished Pharmaceutical Product",Malaria,"Cipla Ltd",Tablet,"Prequalification - Full",,"8  Apr,  2014"
MA104,"Amodiaquine (hydrochloride)/Artesunate Tablet 270mg/100mg","Finished Pharmaceutical Product",Malaria,"Cipla Ltd",Tablet,"Prequalification - Full",,"8  Apr,  2014"
MA108,"Artemether/Lumefantrine Tablet 80mg/480mg","Finished Pharmaceutical Product",Malaria,"Novartis Pharma AG",Tablet,"Prequalification - Full",,"15  Jul,  2015"
MA110,"Artemether/Lumefantrine Tablet, Dispersible 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Strides Pharma Global PTE Limited","Tablet, Dispersible","Prequalification - Full",,"12  Dec,  2017"
MA111,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Ajanta Pharma Ltd",Tablet,"Prequalification - Full",,"6  Oct,  2014"
MA113,"Pyrimethamine/Sulfadoxine Tablet 25mg/500mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd",Tablet,"Prequalification - Full",,"31  Oct,  2018"
MA115,"Artemether/Lumefantrine Tablet, Dispersible 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Cipla Ltd","Tablet, Dispersible","Prequalification - Full",,"17  Jul,  2017"
MA116,"Pyrimethamine/Sulfadoxine Tablet, Dispersible + Amodiaquine (hydrochloride) Tablet, Dispersible 12.5mg/250mg + 76.5mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"21  Aug,  2018"
MA117,"Pyrimethamine/Sulfadoxine Tablet, Dispersible + Amodiaquine (hydrochloride) Tablet, Dispersible 25mg/500mg + 153mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"21  Aug,  2018"
MA123,"Artesunate Capsule, Soft, Rectal 100mg","Finished Pharmaceutical Product",Malaria,"Strides Pharma Global PTE Limited","Capsule, Soft, Rectal","Prequalification - Full",,"19  Jun,  2018"
MA124,"Artesunate Capsule, Soft, Rectal 100mg","Finished Pharmaceutical Product",Malaria,"Cipla Ltd","Capsule, Soft, Rectal","Prequalification - Full",,"22  Feb,  2018"
MA125,"Amodiaquine (hydrochloride)/Artesunate Tablet 67.5mg/25mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"15  May,  2019"
MA126,"Amodiaquine (hydrochloride)/Artesunate Tablet 135mg/50mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"15  May,  2019"
MA127,"Amodiaquine (hydrochloride)/Artesunate Tablet 270mg/100mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"15  May,  2019"
MA128,"Artemether/Lumefantrine Tablet 40mg/240mg","Finished Pharmaceutical Product",Malaria,"Ajanta Pharma Ltd",Tablet,"Prequalification - Full",,"21  Apr,  2017"
MA129,"Artemether/Lumefantrine Tablet 60mg/360mg","Finished Pharmaceutical Product",Malaria,"Ajanta Pharma Ltd",Tablet,"Prequalification - Full",,"21  Apr,  2017"
MA130,"Artemether/Lumefantrine Tablet 80mg/480mg","Finished Pharmaceutical Product",Malaria,"Ajanta Pharma Ltd",Tablet,"Prequalification - Full",,"21  Apr,  2017"
MA131,"Dihydroartemisinin/Piperaquine phosphate Tablet, Film-coated 40mg/320mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Film-coated","Prequalification - Full",,"19  Nov,  2019"
MA132,"Amodiaquine (hydrochloride)/Artesunate Tablet 67.5mg/25mg","Finished Pharmaceutical Product",Malaria,"Micro Labs Limited",Tablet,"Prequalification - Full",,"31  Oct,  2018"
MA133,"Amodiaquine (hydrochloride)/Artesunate Tablet 135mg/50mg","Finished Pharmaceutical Product",Malaria,"Micro Labs Limited",Tablet,"Prequalification - Full",,"31  Oct,  2018"
MA134,"Amodiaquine (hydrochloride)/Artesunate Tablet 270mg/100mg","Finished Pharmaceutical Product",Malaria,"Micro Labs Limited",Tablet,"Prequalification - Full",,"31  Oct,  2018"
MA135,"Artesunate Powder for solution for injection 60mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd","Powder for solution for injection","Prequalification - Full",,"18  Dec,  2018"
MA136,"Artemether/Lumefantrine Tablet, Dispersible 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd","Tablet, Dispersible","Prequalification - Full",,"19  Jun,  2018"
MA137,"Artemether/Lumefantrine Tablet, Dispersible 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"22  Aug,  2019"
MA139,"Dihydroartemisinin/Piperaquine phosphate Tablet, Dispersible 40mg/320mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"19  Nov,  2019"
MA140,"Dihydroartemisinin/Piperaquine phosphate Tablet, Film-coated 80mg/640mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Film-coated","Prequalification - Full",,"19  Nov,  2019"
MA141,"Dihydroartemisinin/Piperaquine phosphate Tablet, Dispersible 20mg/160mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"19  Nov,  2019"
MA142,"Artemether/Lumefantrine Tablet 80mg/480mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"22  Aug,  2019"
MA143,"Artemether/Lumefantrine Tablet 40mg/240mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"22  Aug,  2019"
MA144,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 12.5mg/250mg","Finished Pharmaceutical Product",Malaria,"S Kant Healthcare Ltd.","Tablet, Dispersible","Prequalification - Full",,"12  Apr,  2021"
MA145,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 25mg/500mg","Finished Pharmaceutical Product",Malaria,"S Kant Healthcare Ltd.","Tablet, Dispersible","Prequalification - Full",,"12  Apr,  2021"
MA146,"Pyrimethamine/Sulfadoxine Tablet, Dispersible + Amodiaquine (hydrochloride) Tablet, Dispersible 12.5mg/250mg + 75mg","Finished Pharmaceutical Product",Malaria,"S Kant Healthcare Ltd.","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"12  Apr,  2021"
MA147,"Pyrimethamine/Sulfadoxine Tablet, Dispersible + Amodiaquine (hydrochloride) Tablet, Dispersible 25mg/500mg + 150mg","Finished Pharmaceutical Product",Malaria,"S Kant Healthcare Ltd.","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"12  Apr,  2021"
MA151,"Dihydroartemisinin/Piperaquine phosphate Tablet, Film-coated 60mg/480mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Film-coated","Prequalification - Full",,"16  Sep,  2020"
MA152,"Artesunate Powder for solution for injection 60mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd","Powder for solution for injection","Prequalification - Full",,"13  Apr,  2021"
MA153,"Artemether/Lumefantrine Tablet, Dispersible 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"13  Apr,  2021"
